id,_event_id,_match_time,_home,_out,_home_odd,_out_odd,_draw_odd,_selected,_stake,_initial_balance,_final_balance,_quotient,_status,created_at
1,ta-Event-3075169433,20:00,Chievo,"US Lecce",2.60,2.35,2.90,".ta-Event-3075169433 > div:nth-child(2) > div:nth-child(2) > div:nth-child(1) > div:nth-child(1) > div:nth-child(2) > div:nth-child(1)",0.1,40.09,39.99,0.765042718103502,L,"2020-11-27 19:59:54"
2,ta-Event-3305344588,23:30,"Guairena FC","Sportivo San Lorenzo",2.25,2.50,2.80,".ta-Event-3305344588 > div:nth-child(2) > div:nth-child(2) > div:nth-child(1) > div:nth-child(1) > div:nth-child(2) > div:nth-child(1)",0.1,39.99,39.89,0.74399104993395,W,"2020-11-27 22:07:04"
3,ta-Event-3254392689,13:00,"Newport County AFC","Salford City",2.30,2.90,3.25,".ta-Event-3254392689 > div:nth-child(2) > div:nth-child(2) > div:nth-child(1) > div:nth-child(1) > div:nth-child(2) > div:nth-child(1)",0.1,40.17,40.07,0.654020565234463,L,"2020-11-28 11:11:53"
4,ta-Event-3068407780,16:00,"Admira Wacker",Hartberg,2.55,2.20,3.20,".ta-Event-3068407780 > div:nth-child(2) > div:nth-child(2) > div:nth-child(1) > div:nth-child(1) > div:nth-child(2) > div:nth-child(1)",0.1,40.07,39.97,0.728286523755899,L,"2020-11-28 15:12:28"
5,ta-Event-2904198058,18:00,"USL Bunkerque","Pau FC",2.55,2.55,2.65,".ta-Event-2904198058 > div:nth-child(2) > div:nth-child(2) > div:nth-child(1) > div:nth-child(1) > div:nth-child(2) > div:nth-child(1)",0.1,39.97,39.87,0.891729760509554,W,"2020-11-28 17:58:30"
6,ta-Event-3255477785,21:00,"Atlético Venezuela","Yaracuyanos FC",2.45,2.40,2.65,".ta-Event-3255477785 > div:nth-child(2) > div:nth-child(2) > div:nth-child(1) > div:nth-child(1) > div:nth-child(2) > div:nth-child(1)",0.1,40.14,40.04,0.851236990795607,L,"2020-11-28 19:58:02"
7,ta-Event-3295707188,23:00,Delfin,"Inependiente Del Valle",2.20,2.30,2.80,".ta-Event-3295707188 > div:nth-child(2) > div:nth-child(2) > div:nth-child(1) > div:nth-child(1) > div:nth-child(2) > div:nth-child(1)",0.1,40.04,39.94,0.82,L,"2020-11-28 22:59:43"
8,ta-Event-2903738916,14:00,"FC Metz","Stade Brest",2.40,2.75,3.20,".ta-Event-2903738916 > div:nth-child(2) > div:nth-child(2) > div:nth-child(1) > div:nth-child(1) > div:nth-child(2) > div:nth-child(1)",0.1,39.94,39.84,0.75,L,"2020-11-29 12:12:57"
9,ta-Event-3134841323,17:00,"Mjondalen IF",Stabaek,2.45,2.55,2.85,".ta-Event-3134841323 > div:nth-child(2) > div:nth-child(2) > div:nth-child(1) > div:nth-child(1) > div:nth-child(2) > div:nth-child(1)",0.1,39.84,39.74,0.85,L,"2020-11-29 16:58:56"
10,ta-Event-3075164678,20:00,Cosenza,Salernitana,2.40,2.60,2.75,".ta-Event-3075164678 > div:nth-child(2) > div:nth-child(2) > div:nth-child(1) > div:nth-child(1) > div:nth-child(2) > div:nth-child(1)",0.1,39.74,39.64,0.78,L,"2020-11-29 19:04:11"
